make,body,state,units,avg_price,revenue
chrysler,wagon,wa,4,4725.0,18900.0
chrysler,wagon,wi,7,1757.142857142857,12300.0
dodge,club cab,ca,6,5000.0,30000.0
dodge,club cab,fl,2,4600.0,9200.0
dodge,club cab,ga,3,4566.666666666667,13700.0
dodge,club cab,in,2,11500.0,23000.0
dodge,club cab,md,1,3300.0,3300.0
dodge,club cab,mi,1,9500.0,9500.0
dodge,club cab,mn,1,7200.0,7200.0
dodge,club cab,mo,4,6050.0,24200.0
dodge,club cab,nc,2,4400.0,8800.0
dodge,club cab,nj,2,6250.0,12500.0
dodge,club cab,oh,4,4175.0,16700.0
dodge,club cab,pa,3,2350.0,7050.0
dodge,club cab,sc,2,8150.0,16300.0
dodge,club cab,tn,1,5600.0,5600.0
dodge,club cab,tx,3,4600.0,13800.0
dodge,convertible,tx,1,28700.0,28700.0
dodge,coupe,az,4,13550.0,54200.0
dodge,coupe,ca,27,18448.14814814815,498100.0
dodge,coupe,co,3,18500.0,55500.0
dodge,coupe,fl,32,19693.75,630200.0
dodge,coupe,ga,20,20130.0,402600.0
dodge,coupe,il,7,18142.85714285714,127000.0
dodge,coupe,in,3,17566.666666666668,52700.0
dodge,coupe,la,2,19300.0,38600.0
dodge,coupe,ma,2,9625.0,19250.0
dodge,coupe,md,2,7150.0,14300.0
dodge,coupe,mi,3,15233.333333333334,45700.0
dodge,coupe,mn,1,14500.0,14500.0
dodge,coupe,mo,8,20193.75,161550.0
dodge,coupe,ms,2,23000.0,46000.0
dodge,coupe,nc,4,11800.0,47200.0
dodge,coupe,ne,2,12350.0,24700.0
dodge,coupe,nj,4,10550.0,42200.0
dodge,coupe,nv,10,19800.0,198000.0
dodge,coupe,ny,1,16900.0,16900.0
dodge,coupe,oh,4,16425.0,65700.0
dodge,coupe,on,3,28533.333333333332,85600.0
dodge,coupe,pa,16,22090.625,353450.0
dodge,coupe,sc,4,12887.5,51550.0
dodge,coupe,tn,5,19720.0,98600.0
dodge,coupe,tx,48,19350.0,928800.0
dodge,coupe,va,6,15116.666666666666,90700.0
dodge,coupe,wa,3,19366.666666666668,58100.0
dodge,coupe,wi,1,8000.0,8000.0
dodge,crew cab,az,1,11200.0,11200.0
dodge,crew cab,ca,1,11700.0,11700.0
dodge,crew cab,fl,4,14000.0,56000.0
dodge,crew cab,ga,1,17000.0,17000.0
dodge,crew cab,la,1,18100.0,18100.0
dodge,crew cab,mi,7,20071.428571428572,140500.0
dodge,crew cab,mn,1,16900.0,16900.0
dodge,crew cab,mo,1,12400.0,12400.0
dodge,crew cab,nc,2,16350.0,32700.0
dodge,crew cab,ne,1,18700.0,18700.0
dodge,crew cab,nv,1,22800.0,22800.0
dodge,crew cab,oh,1,21500.0,21500.0
dodge,crew cab,pa,3,17033.333333333332,51100.0
dodge,crew cab,pr,1,15000.0,15000.0
dodge,crew cab,qc,1,2700.0,2700.0
dodge,crew cab,tn,1,9800.0,9800.0
dodge,crew cab,tx,6,19183.333333333332,115100.0
dodge,crew cab,wa,1,14700.0,14700.0
dodge,crew cab,wi,1,10500.0,10500.0
dodge,extended cab,ca,3,1100.0,3300.0
dodge,extended cab,ga,1,2900.0,2900.0
dodge,extended cab,mi,1,7800.0,7800.0
dodge,extended cab,nc,1,2700.0,2700.0
dodge,extended cab,ne,1,1000.0,1000.0
dodge,extended cab,nj,1,1700.0,1700.0
dodge,extended cab,tn,1,675.0,675.0
dodge,extended cab,tx,2,5550.0,11100.0
dodge,mega cab,az,1,29750.0,29750.0
dodge,mega cab,ca,1,10700.0,10700.0
dodge,mega cab,nv,2,18350.0,36700.0
dodge,mega cab,pa,1,14800.0,14800.0
dodge,mega cab,tx,6,12450.0,74700.0
dodge,minivan,ab,6,7283.333333333333,43700.0
dodge,minivan,az,42,10126.190476190477,425300.0
dodge,minivan,ca,160,10927.81875,1748451.0
dodge,minivan,co,22,11313.636363636364,248900.0
dodge,minivan,fl,295,11931.19661016949,3519703.0
dodge,minivan,ga,63,7955.158730158731,501175.0
dodge,minivan,hi,5,9600.0,48000.0
dodge,minivan,il,80,13194.375,1055550.0
dodge,minivan,in,24,9916.666666666666,238000.0
dodge,minivan,la,8,11762.5,94100.0
dodge,minivan,ma,28,6383.928571428572,178750.0
dodge,minivan,md,27,8727.777777777777,235650.0
dodge,minivan,mi,37,8972.972972972973,332000.0
dodge,minivan,mn,72,14934.722222222223,1075300.0
dodge,minivan,mo,49,12506.122448979591,612800.0
dodge,minivan,ms,2,13800.0,27600.0
dodge,minivan,nc,67,8274.626865671642,554400.0
dodge,minivan,ne,11,11186.363636363636,123050.0
dodge,minivan,nj,39,7257.692307692308,283050.0
dodge,minivan,nv,36,10470.833333333334,376950.0
dodge,minivan,ny,13,5338.461538461538,69400.0
dodge,minivan,oh,38,8793.447368421053,334151.0
dodge,minivan,on,32,18210.9375,582750.0
dodge,minivan,or,3,10133.333333333334,30400.0
dodge,minivan,pa,122,14978.688524590163,1827400.0
dodge,minivan,pr,2,6250.0,12500.0
dodge,minivan,qc,9,8838.888888888889,79550.0
dodge,minivan,sc,12,9016.666666666666,108200.0
dodge,minivan,tn,30,12508.333333333334,375250.0
dodge,minivan,tx,97,9927.835051546392,963000.0
dodge,minivan,ut,2,6050.0,12100.0
dodge,minivan,va,81,13433.333333333334,1088100.0
dodge,minivan,wa,10,10895.0,108950.0
dodge,minivan,wi,27,8505.555555555555,229650.0
dodge,quad cab,ab,4,6050.0,24200.0
dodge,quad cab,az,13,9011.538461538461,117150.0
dodge,quad cab,ca,46,10041.304347826086,461900.0
dodge,quad cab,co,11,12827.272727272728,141100.0
dodge,quad cab,fl,44,9463.636363636364,416400.0
dodge,quad cab,ga,36,10911.111111111111,392800.0
dodge,quad cab,il,2,4950.0,9900.0
dodge,quad cab,in,3,4966.666666666667,14900.0
dodge,quad cab,la,2,3050.0,6100.0
dodge,quad cab,ma,5,7540.0,37700.0
dodge,quad cab,md,6,12616.666666666666,75700.0
dodge,quad cab,mi,25,13220.0,330500.0
dodge,quad cab,mn,10,10830.0,108300.0
dodge,quad cab,mo,10,10610.0,106100.0
dodge,quad cab,ms,1,3000.0,3000.0
dodge,quad cab,nc,31,7641.935483870968,236900.0
dodge,quad cab,ne,5,14700.0,73500.0
dodge,quad cab,nj,9,6372.222222222223,57350.0
dodge,quad cab,nv,11,8154.545454545455,89700.0
dodge,quad cab,ny,7,9142.857142857143,64000.0
